policy_id,run_name,policy_type,checkpoint_step,scenario,steps,trials,falls,fall_rate_per_1000_steps,mean_reward,reward_std,tracking_rmse,tracking_failure_rate,mean_horizontal_speed,mean_root_height,min_root_height,mean_torso_up,min_torso_up,mean_tilt_angle_rad,mean_action_norm,mean_action_rate_norm,mean_action_saturation_rate,mean_motor_target_error,mean_actuator_torque_norm,mean_mechanical_power_abs,mean_acceleration_norm,mean_jerk_norm,mean_foot_slip_speed,external_contact_force_rms,mean_first_fall_survival_fraction,score_stability,score_tracking,score_upright,score_smoothness,composite_score,rank
P08_v16_standard_bvh,biomechanics_ref_bvh_v10_best87040_erfi_dr_180m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_2136_180m_seed7_running,biomechanics,127795200,IN_DISTRIBUTION,6000.0,12.0,0.0,0.0,2.7228236303814533,0.8360184963313458,0.1617573390805219,0.1141666666666666,0.2110456412532159,1.4602172056436538,1.368313908576965,0.9415641372203828,0.7933721542358398,0.2974986949603709,1.988421267390056,42.01963605756248,0.0365648148148148,0.7809499130059591,87.69631399679756,251.7894169787262,2.1524756867744834,75.76651188071232,0.1644427954834178,0.0,1.0,1.0,1.0,0.244991000312862,0.0,0.7489982000625723,1
P09_berkeley_flat,ppo_BerkeleyHumanoidJoystickFlatTerrain_20260627_1803_50m_seed7,berkeley,44236800,IN_DISTRIBUTION,6000.0,12.0,8.0,1.3333333333333333,0.0398346430329353,0.0096727815089663,0.5778051844549885,0.4401666666666666,0.2932830577983749,0.5259118372056012,-0.0394155718386173,0.9888016380257904,-0.1018067300319671,0.0716857367281058,1.510366934755642,27.82622102178605,0.0161805555555555,0.5562583967280234,18.04626902832393,55.04720481826251,3.2332552373229717,142.95918173497478,0.0,168.03666216619516,0.9501666666666666,0.7729688686408501,0.0,1.0,1.0,0.6091875474563401,2
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,biomechanics,8110080,IN_DISTRIBUTION,3000.0,6.0,1.0,0.3333333333333333,0.2896842223896335,3.1676442188276184,0.2603828160158447,0.3116666666666666,0.263899882454081,1.468945877949397,0.8864626288414001,0.9414182142814,0.8280636072158813,0.3240993174546961,2.2422239945051525,34.470260998737835,0.0288888888888888,0.7617676715170205,84.69632398347561,212.6142343106983,2.538618629916984,71.98169771543502,0.279114671236695,0.0,0.9306666666666666,0.6841305998481396,0.7629467907794254,0.2426586768343922,0.5318927854780138,0.6042572910877634,3
P05_v16_standard_bvh,biomechanics_noerfi_nodr_ref_bvh_v10_standard_resume3_from_29286400_100m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_0018_100m_seed7_rew_758p4744_best_1029p5856_s,biomechanics,87040000,IN_DISTRIBUTION,6000.0,12.0,5.0,0.8333333333333334,1.8329793624509567,2.019377564963724,0.3229001639806881,0.2068333333333333,0.2160909770909528,1.4689027406175932,0.8845258355140686,0.965893942207098,0.6916420459747314,0.2282332866031715,1.9644931508130736,37.977973788679726,0.040287037037037,0.7547910110256016,83.20775891352852,229.5471696623172,2.056900818664761,69.65063120523476,0.2315200803613987,0.0,0.9028333333333332,0.5573272589217917,0.6126819867192714,0.6338604665717578,0.2847561533778302,0.5619832082366326,4
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,IN_DISTRIBUTION,3000.0,6.0,2.0,0.6666666666666666,0.2691516783675179,3.256552235997886,0.3697471238618551,0.2926666666666667,0.2883375791944119,1.460788293937842,0.8731144666671753,0.9331895383199056,0.6529056429862976,0.3450890689914118,2.2284813352402586,32.806502888526964,0.0261481481481481,0.7546201959936487,84.73665907967982,207.18529183865647,2.542479490325504,69.79007919904168,0.2903969607487234,0.0,0.9566666666666668,0.8025816249050873,0.5000820528366621,0.1111376543308839,0.6491132081893305,0.5581961174981434,5
P06_auto_xml_standard_sine,biomechanics_noerfi_nodr_ref_sine_trajectory_sine_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2321_60m_seed7_rew_714p9127_best_714p9127_s,biomechanics,60702720,IN_DISTRIBUTION,6000.0,12.0,6.0,1.0,0.7292008376812931,1.5833686416037909,0.1741499072661168,0.0208333333333333,0.1986988343596843,1.4476197357277076,0.873786449432373,0.9465880339493354,0.4534581005573272,0.2790932104514902,1.8449315125289945,37.39250417856674,0.012574074074074,0.7292799998447616,81.40292110490634,190.40173402911844,1.1711255959942188,70.27171786142473,0.448925023573357,0.0,0.846,0.2984054669703872,0.9702135984517816,0.3252892205655277,0.3260055361822668,0.5080846640550216,6
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,biomechanics,51363840,IN_DISTRIBUTION,6000.0,12.0,8.0,1.3333333333333333,0.4604390209214082,1.9001240598207396,0.2078662280612408,0.0486666666666666,0.2140731452040412,1.4466682947476706,0.8696503043174744,0.9448089545667172,0.4789312779903412,0.2721659317528616,1.923412638736542,34.892435814830336,0.0149351851851851,0.720517947436766,80.41748938332917,190.37898066428983,1.23622608397334,67.92054830536634,0.4665380631687893,0.0,0.7805,0.0,0.8891740709792205,0.2968537419281626,0.5021483712529415,0.3763378068046928,7
P07_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_stylev1_trajectory_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2241_70m_seed7_running,biomechanics,2949120,IN_DISTRIBUTION,6000.0,12.0,8.0,1.3333333333333333,0.1685041032819184,2.010917826862752,0.2703979448690358,0.0516666666666666,0.2292989508706373,1.4345322629610695,0.8693014979362488,0.92623615758121,0.3172970116138458,0.3057308616716974,1.8873455022263788,36.59220844997194,0.0132129629629629,0.7428212197965147,84.06405665720223,200.19656499814255,1.2477764462698162,69.35622200864839,0.4996477171379192,0.0,0.8113333333333334,0.1404707668944572,0.7388747304033478,0.0,0.3823905377183695,0.3160897796506242,8
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,biomechanics,46694400,IN_DISTRIBUTION,6000.0,12.0,8.0,1.3333333333333333,0.1186281326525495,1.9751075753571887,0.3248600952922865,0.058,0.2328577812346072,1.4331811063885689,0.8697060942649841,0.928665802364548,0.4957405626773834,0.3013676692267046,1.9031148289607596,35.59491330134502,0.0136759259259259,0.75791781103014,85.75031903104137,192.39376760321372,1.198530135538984,65.85512640746859,0.4899043622186652,0.0,0.7971666666666667,0.0759301442672743,0.6079711551805709,0.0388336310386061,0.452655174249684,0.2657956478937706,9
