policy_id,policy_type,mean_composite_score,worst_composite_score,mean_tracking_rmse,mean_fall_rate,mean_survival,mean_power,rank
P08_v16_standard_bvh,biomechanics,0.7785124842897752,0.6578913568049924,0.1470042885961706,0.0,1.0,251.7894169787262,1
P05_v16_standard_bvh,biomechanics,0.6096827985483374,0.4697818707728294,0.26564611503475005,0.8333333333333334,0.9028333333333332,229.54716966231717,2
P09_berkeley_flat,berkeley,0.6008151553753543,0.508227031000258,0.568150291399974,1.3333333333333333,0.9501666666666666,55.04720481826251,3
P06_auto_xml_standard_sine,biomechanics,0.5657733635818519,0.4644338186929302,0.12198795969058383,1.0,0.846,190.40173402911842,4
P03_v16_forward_bvh,biomechanics,0.5515942824339682,0.327970140699325,0.4494029287053542,4.5,0.9566666666666667,216.81292864674143,5
P04_v16_forward_bvh,biomechanics,0.5238163622244411,0.4665816636634758,0.41382321881660816,4.5,0.9306666666666666,212.49781356202985,6
P07_auto_xml_standard_no_ref,biomechanics,0.44668649872399807,0.1756180128206335,0.19098315656114043,1.3333333333333333,0.8113333333333334,200.19656499814258,7
P02_auto_xml_standard_no_ref,biomechanics,0.4368582291789765,0.1995613351117842,0.15620181365871968,1.3333333333333333,0.7805,190.3789806642898,8
P01_auto_xml_standard_no_ref,biomechanics,0.40831449866359115,0.1399153534295679,0.22468579285245785,1.3333333333333333,0.7971666666666667,192.39376760321372,9
