scenario,policy_id,policy_type,composite_score,tracking_rmse,fall_rate_per_1000_steps,mean_torso_up,mean_action_rate_norm
diagonal,P08_v16_standard_bvh,biomechanics,0.7551495796048383,0.1984537300384325,0.0,0.9305021960139276,51.02246165285188
diagonal,P09_berkeley_flat,berkeley,0.6680267493393501,0.5004461289827612,1.0,0.9904387703165412,26.928724795872803
diagonal,P05_v16_standard_bvh,biomechanics,0.6095641028252311,0.2140600317980278,0.0,0.9547973338961602,49.44398945808676
forward,P08_v16_standard_bvh,biomechanics,0.6578913568049924,0.1611271789010377,0.0,0.9326472689509392,49.46965537562067
forward,P09_berkeley_flat,berkeley,0.5919871605845887,0.4261533457801242,1.0,0.9908604557327926,27.29415601335348
forward,P06_auto_xml_standard_sine,biomechanics,0.5658118724009294,0.0793760327722832,0.0,0.9794362642169,59.11381668938448
forward_slow,P08_v16_standard_bvh,biomechanics,0.6586337676925431,0.1327988801703998,0.0,0.9251950210332872,49.5312934437988
forward_slow,P09_berkeley_flat,berkeley,0.6569450353184401,0.549295572994399,1.0,0.9908522619083524,28.076990913423987
forward_slow,P03_v16_forward_bvh,biomechanics,0.6422423355823002,0.1995348803859427,0.0,0.9315620391964912,32.556125448437086
lateral,P08_v16_standard_bvh,biomechanics,0.8073710466030454,0.1486130924979495,0.0,0.9445745331645012,49.85747163216282
lateral,P03_v16_forward_bvh,biomechanics,0.7146555979567448,0.3453902743413755,4.0,0.9443500294089318,23.177635665010936
lateral,P05_v16_standard_bvh,biomechanics,0.6632997073610949,0.2364197596357628,0.0,0.980291322350502,42.02899691043522
stand,P08_v16_standard_bvh,biomechanics,0.999603770357192,0.0135655986361422,0.0,0.9998550419807434,4.262268223972243
stand,P05_v16_standard_bvh,biomechanics,0.7878380960001555,0.0389078479016763,0.0,0.9955660366415976,6.778689145442586
stand,P06_auto_xml_standard_sine,biomechanics,0.7025048108016732,0.0128493717492752,0.0,0.9961138326525688,6.082040583153177
turn,P08_v16_standard_bvh,biomechanics,0.7924253846760402,0.2274672513330619,0.0,0.9166107621788978,47.974666016968456
turn,P05_v16_standard_bvh,biomechanics,0.6540291098743128,0.2119791304397162,0.0,0.9325953117012976,45.8525210859099
turn,P09_berkeley_flat,berkeley,0.5908025021176994,0.7651833559061262,2.0,0.9845888639204204,27.631275503237017
